ID_Venta,Producto,Cantidad,Precio_Unitario,Correo
1,,5,1778.86,cliente@gmail.com
2,Laptop HP,1,-58.47,
3,Monitor Dell,1,1031.15,
4,Mouse Logitech,-2,483.72,ventas@hotmail.com
5,Teclado Razer,0,624.99,ventas@hotmail.com
6,Teclado Razer,5,1519.73,NO_TIENE
7,,1,1191.94,correo_sin_arroba.com
8,Monitor Dell,3,1784.24,cliente@gmail.com
9,Teclado Razer,-2,407.44,correo_sin_arroba.com
10,,-2,790.65,NO_TIENE
11,Mouse Logitech,1,19.31,correo_sin_arroba.com
12,Laptop HP,1,752.79,correo_sin_arroba.com
13,Monitor Dell,1,1847.77,
14,,5,1898.71,correo_sin_arroba.com
15,Mouse Logitech,1,413.44,
16,Monitor Dell,1,520.12,
17,Mouse Logitech,0,923.88,cliente@gmail.com
18,Teclado Razer,1,49.9,ventas@hotmail.com
19,Monitor Dell,2,1990.06,ventas@hotmail.com
20,,0,1201.58,cliente@gmail.com
21,Monitor Dell,5,487.23,
22,,1,1387.02,cliente@gmail.com
23,Teclado Razer,-2,317.37,correo_sin_arroba.com
24,Mouse Logitech,1,-54.18,
25,Teclado Razer,0,260.17,correo_sin_arroba.com
26,Monitor Dell,2,1061.17,correo_sin_arroba.com
27,,3,1940.21,cliente@gmail.com
28,Mouse Logitech,1,1011.14,ventas@hotmail.com
29,,5,-89.32,NO_TIENE
30,Monitor Dell,0,578.4,ventas@hotmail.com
31,Teclado Razer,1,1843.19,NO_TIENE
32,Monitor Dell,1,1111.08,cliente@gmail.com
33,Mouse Logitech,2,125.65,ventas@hotmail.com
34,Monitor Dell,-2,1390.46,
35,Teclado Razer,1,228.06,ventas@hotmail.com
36,Teclado Razer,-2,446.97,cliente@gmail.com
37,Laptop HP,2,1148.11,correo_sin_arroba.com
38,Mouse Logitech,1,269.9,correo_sin_arroba.com
39,Laptop HP,5,750.59,ventas@hotmail.com
40,Mouse Logitech,3,533.56,
41,,1,1948.27,
42,,5,-12.98,NO_TIENE
43,,1,790.54,ventas@hotmail.com
44,,2,1045.26,
45,Mouse Logitech,-2,325.81,correo_sin_arroba.com
46,Monitor Dell,-2,1383.47,ventas@hotmail.com
47,Mouse Logitech,2,279.42,NO_TIENE
48,Mouse Logitech,1,776.04,NO_TIENE
49,Monitor Dell,-2,895.2,ventas@hotmail.com
50,Mouse Logitech,3,50.39,correo_sin_arroba.com
51,,3,129.42,cliente@gmail.com
52,Laptop HP,-2,1213.03,NO_TIENE
53,Laptop HP,5,1491.6,
54,Mouse Logitech,1,-23.82,cliente@gmail.com
55,Teclado Razer,5,242.54,correo_sin_arroba.com
56,,-2,1705.81,NO_TIENE
57,,1,379.97,ventas@hotmail.com
58,Laptop HP,2,636.28,correo_sin_arroba.com
59,Monitor Dell,0,680.56,
60,,2,1182.57,correo_sin_arroba.com
61,Monitor Dell,0,1433.05,ventas@hotmail.com
62,Monitor Dell,1,1424.82,cliente@gmail.com
63,Mouse Logitech,0,222.75,cliente@gmail.com
64,Teclado Razer,1,844.67,NO_TIENE
65,,-2,1069.46,ventas@hotmail.com
66,,5,1697.96,NO_TIENE
67,Laptop HP,3,1566.52,NO_TIENE
68,,3,1524.7,ventas@hotmail.com
69,Monitor Dell,-2,1498.22,NO_TIENE
70,,2,1706.07,cliente@gmail.com
